
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=42 center=(54.9204, 63.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=18 center=(134, 41.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=92 center=(102, 53.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=331776
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=331776
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=331776
  Tier 2 [shake rotations]
    [shake_rot] module_id=42 new_size=(53x62) center=(54.9204, 63.5)
    [shake_rot] module_id=69 new_size=(27x54) center=(83, 27)
  Tier 2 [iter=7] shake rotated=2 modules
  Tier 2 [iter=8] running sweeps (h-first)
  Tier 2 [near->far] init_w=256.00 mul=18.00 side_bias=0.00(axis=0)
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=89 center=(66.9204, 108) dx=-2.57956 dy=-1 rot90=1 weight=4608
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0.5 rot90=0 weight=4608
    [move_apply] module_id=18 center=(134, 41.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=42 center=(43.5, 63.5) dx=-11.4204 dy=0 rot90=0 weight=4608
    [move_apply] module_id=65 center=(28, 150) dx=0 dy=6.8803 rot90=0 weight=4608
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=69 center=(83, 19) dx=0 dy=-8 rot90=1 weight=4608
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=43 center=(30.5, 201.5) dx=0 dy=1.5 rot90=0 weight=4608
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=4608
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=4608
  Tier 2 [left->right] init_w=768.00 mul=18.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=43 center=(30.5, 201.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=65 center=(28, 150) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=42 center=(43.5, 63.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=89 center=(66.9204, 108) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-5.5 rot90=0 weight=13824
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=18 center=(135, 41.5) dx=1 dy=0 rot90=0 weight=13824
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=66 center=(192.5, 30.5) dx=1 dy=0 rot90=0 weight=13824
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=13824
  Tier 2 [right->left] init_w=768.00 mul=18.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=66 center=(191.5, 30.5) dx=-1 dy=0 rot90=0 weight=13824
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=18 center=(134, 41.5) dx=-1 dy=0 rot90=0 weight=13824
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=69 center=(83, 19) dx=-1 dy=5.5 rot90=0 weight=13824
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=89 center=(66.9204, 108) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=42 center=(43.5, 63.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=-1.5 rot90=0 weight=13824
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=65 center=(28, 148.5) dx=0 dy=-1.5 rot90=0 weight=13824
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=13824
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=13824
  Tier 2 [bottom->top] init_w=2304.00 mul=27.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-5.5 rot90=0 weight=62208
    [move_apply] module_id=18 center=(134, 41.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=42 center=(43.5, 63.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=89 center=(66.9204, 108) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=65 center=(28.5, 149.5) dx=0.5 dy=1 rot90=1 weight=62208
    [move_apply] module_id=11 center=(86.5, 141) dx=1 dy=-6.5 rot90=0 weight=62208
    [move_apply] module_id=81 center=(136, 181) dx=1 dy=0 rot90=0 weight=62208
    [move_apply] module_id=47 center=(188.5, 175.319) dx=1 dy=0 rot90=0 weight=62208
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=43 center=(30.5, 200.5) dx=0 dy=0.5 rot90=0 weight=62208
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=62208
  Tier 2 [top->bottom] init_w=2304.00 mul=27.00 side_bias=0.00(axis=2)
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=-0.5 rot90=0 weight=62208
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=81 center=(136, 181) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=47 center=(188.5, 175.319) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=65 center=(28.5, 149) dx=0 dy=-0.5 rot90=0 weight=62208
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=11 center=(86.5, 141) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=89 center=(66.9204, 107.5) dx=0 dy=-0.5 rot90=0 weight=62208
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=42 center=(43.5, 63) dx=0 dy=-0.5 rot90=0 weight=62208
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=18 center=(134, 41.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=62208
    [move_apply] module_id=69 center=(83, 18.5) dx=-1 dy=5 rot90=0 weight=62208
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=62208
  Tier 2 [left->right] init_w=6912.00 mul=36.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=65 center=(28.5, 149) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=42 center=(43.5, 63) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=89 center=(66.9204, 107.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-5 rot90=0 weight=248832
    [move_apply] module_id=11 center=(86.5, 141) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=18 center=(135, 41.5) dx=1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=81 center=(136, 181) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=47 center=(188.5, 175.319) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=66 center=(192.5, 30.5) dx=1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=248832
  Tier 2 [right->left] init_w=6912.00 mul=36.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=66 center=(191.5, 30.5) dx=-1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=47 center=(187.5, 175.319) dx=-1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=18 center=(134, 41.5) dx=-1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=81 center=(135, 181) dx=-1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=11 center=(85.5, 141) dx=-1 dy=0 rot90=0 weight=248832
    [move_apply] module_id=69 center=(83, 18.5) dx=-1 dy=5 rot90=0 weight=248832
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=89 center=(66.9204, 107.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=42 center=(43.5, 63) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=65 center=(28, 148.5) dx=-0.5 dy=-0.5 rot90=1 weight=248832
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=248832
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=248832
  Tier 2 [bottom->top] init_w=20736.00 mul=36.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-5 rot90=0 weight=746496
    [move_apply] module_id=18 center=(134, 41.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=42 center=(43.5, 63) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=92 center=(102, 54) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=39 center=(113.42, 93) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=89 center=(66.9204, 107.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=22 center=(147.5, 136) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=65 center=(28.5, 149) dx=0.5 dy=0.5 rot90=1 weight=746496
    [move_apply] module_id=11 center=(86.5, 140.5) dx=1 dy=-0.5 rot90=0 weight=746496
    [move_apply] module_id=81 center=(136, 181) dx=1 dy=0 rot90=0 weight=746496
    [move_apply] module_id=47 center=(188.5, 175.319) dx=1 dy=0 rot90=0 weight=746496
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=746496
  Tier 2 [top->bottom] init_w=20736.00 mul=36.00 side_bias=0.00(axis=2)
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=81 center=(136, 181) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=47 center=(188.5, 175.319) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=65 center=(28.5, 149) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=13 center=(239.5, 134.819) dx=-4.5 dy=-13.6807 rot90=1 weight=746496
    [move_apply] module_id=11 center=(86.5, 140.5) dx=0 dy=0 rot90=0 weight=746496
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=746496
